crioulo,IPA
Tanga,tanga
Tanjador,tand̠ʒadoɾ
Tánta,taːnta
Tantohora,tantooɾa
Tappál,tappaːl
Tardancè,taɾdanseː
Tavemo,taʋemo
Tax,taʃ
Tea,tea
Telegramo,telegɾamo
Telhada,teʎada
Tem,tem
Temaro,temaɾo
Témper,teːmpeɾ
Tempésta,tempeːsta
Tend,tend
Tenro,tenɾo
Tenteção,tentesaːo
Terano,teɾano
Terivel,teɾiʋel
Terrestrial,terestɾial
Tesá,tezaː
Teçan,tesan
Testimonio,testimonio
Thesóura,tezoːuɾa
thesauro,tezauɾo
Thesouria,tezouɾia
Ticê,tiseː
tissi,tisi
Tifin,tifin
Tígir,tiːd̠ʒiɾ
Tinhè,tiɲeː
Tirnia,tiɾnia
Tirrá,tiraː
Toca-boca,toka boka
Tocando,tokando
toquando,tokuando
Todo,todo
Tone,tone
Topàz,topaːs
Tormentador,toɾmentadoɾ
Tórna,toːɾna
Tortil,toɾtil
Torno,toɾno
Tosé,tozeː
Traducê,tɾaduseː
Trahido,tɾaido
Train,tɾain
Transgressá,tɾanzgɾesaː
Transgressador,tɾanzgɾesadoɾ
Transportado,tɾanspoɾtado
Trap,tɾap
Trapá,tɾapaː
Travezá,tɾaʋezaː
Traz-cahido,tɾaz kaido
traz-porta,tɾaz poɾta
Travelho,tɾaʋeʎo
travajo,tɾaʋad̠ʒo
travai,tɾaʋai
travia,tɾaʋia
Travalhá,tɾaʋaʎaː
travalyá,tɾaʋaljaː
travejá,tɾaʋed̠ʒaː
traveliá,tɾaʋeliaː
traviá,tɾaʋiaː
Trazeiro,tɾazeiɾo
Treato,tɾeato
Treção,tɾesaːo
tresão,tɾezaːo
tresan,tɾezan
Trediça,tɾedisa
traidice,tɾaidise
Treidor,tɾeidoɾ
tredor,tɾedoɾ
Trémè,tɾeːmeː
Tremedura,tɾemeduɾa
Trevessá,tɾeʋesaː
Trevessado,tɾeʋesado
trevesado,tɾeʋezado
arrevezado,areʋezado
Travesso,tɾaʋeso
treveço,tɾeʋeso
Trezeiro,tɾezeiɾo
trezéro,tɾezeːɾo
Trezeiromente,tɾezeiɾomente
Tribulá,tɾibulaː
Trimi,tɾimi
Trinidade,tɾinidade
Trintè,tɾinteː
Triómpha,tɾioːmfa
Triompliá,tɾiompliaː
Triompliante,tɾiompliante
Tristézè,tɾisteːzeː
Trizê,tɾizeː
trizá,tɾizaː
treizê,tɾeizeː
Troada,tɾoada
truada,tɾuada
trovada,tɾoʋada
trovado,tɾoʋado
truvado,tɾuʋado
Trova,tɾoʋa
truvá,tɾuʋaː
Trobellado,tɾobelado
Trocamento,tɾokamento
Trocido,tɾosido
Trombeto,tɾombeto
trumbetè,tɾumbeteː
Tromenta,tɾomenta
troméntè,tɾomeːnteː
tromento,tɾomento
Tropeço,tɾopeso
troupeço,tɾoupeso
Tropeça,tɾopesa
troupeçà,tɾoupesaː
Troubalá,tɾoubalaː
troubelà,tɾoubelaː
troubalha,tɾoubaʎa
troublà,tɾoublaː
trublá,tɾublaː
Trobellado,tɾobelado
Troublação,tɾoublasaːo
trublação,tɾublasaːo
trubelasan,tɾubelazan
trobalhasan,tɾobaʎazan
Trouble,tɾouble
Traçador,tɾasadoɾ
Trucé,tɾuseː
trussé,tɾuseː
Trusamento,tɾuzamento
Tudos,tudos
Tuli,tuli
Tuo,tuo
Tutana,tutana
Umi,umi
Ungiá,und̠ʒiaː
Urvis,uɾʋis
Usancia,uzansia
usancè,uzanseː
Uscuro,uskuɾo
Uço,uso
Vaca,ʋaka
Vacudade,ʋakudade
Vadade,ʋadade
Vagára,ʋagaːɾa
Vai,ʋai
Valante,ʋalante
Valiá,ʋaliaː
Vanda,ʋanda
Vande,ʋande
Vand'lar-vida,ʋandəlaɾ ʋida
Vanz,ʋans
Vaquinha,ʋakiɲa
vaccinha,ʋasiɲa
Varioso,ʋaɾiozo
Varzè,ʋaɾzeː
vàrzi,ʋaːɾzi
Varzeiro,ʋaɾzeiɾo
vaijeiro,ʋaid̠ʒeiɾo
Vatti,ʋatːi
Ven,ʋen
Vença,ʋensa
vencà,ʋenkaː
Vencador,ʋenkadoɾ
Vein,ʋein
Venettè,ʋenetːeː
vanetta,ʋanetːa
vanettè,ʋanetːeː
Vénkel,ʋeːnkel
vénkal,ʋeːnkal
Ventra,ʋentɾa
vénter,ʋeːnteɾ
Verdedeiro,ʋeɾdedeiɾo
Verdeiromente,ʋeɾdeiɾomente
Verdente,ʋeɾdente
Vergonhadomente,ʋeɾgoɲadomente
Vésper,ʋeːspeɾ
Vestimento,ʋestimento
Veyo,ʋejo
Viagè,ʋiad̠ʒeː
viajo,ʋiad̠ʒo
Veagéro,ʋead̠ʒeːɾo
Vichelei,ʋit̠ʃelei
Vida,ʋida
vidè,ʋideː
Vidèaquél,ʋideːakeːl
Vidèque,ʋideːke
vidèquél,ʋideːkeːl
Vido,ʋido
Vido,ʋido
Vidor,ʋidoɾ
Vigári,ʋigaːɾi
Vigil,ʋid̠ʒil
Vin',ʋinə
Vindo,ʋindo
Vingá,ʋingaː
Vintôrè,ʋintoːɾeː
Vinteroso,ʋinteɾozo
vintroso,ʋintɾozo
Vio,ʋio
Virado,ʋiɾado
Viradomente,ʋiɾadomente
Virgem-ventre,ʋiɾd̠ʒem ʋentɾe
Virrá,ʋiraː
Vistè,ʋisteː
Vistê,ʋisteː
vistá,ʋistaː
Vistementé,ʋistementeː
vistemento,ʋistemento
vistido,ʋistido
Vivenda,ʋiʋenda
Vizia,ʋizia
Viziá,ʋiziaː
Viziador,ʋiziadoɾ
Viziação,ʋiziasaːo
Voltiá,ʋoltiaː
Vossas,ʋosas
Vossè,ʋoseː
Vossotros,ʋosotɾos
Waggon,ʋagon
Waiscoat,ʋaiskoat
Wine,ʋine
Zumbá,zumbaː
Zomberías,zombeɾiːas
zombrias,zombɾias
zombàrios,zombaːɾios
